,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16
1894,0.856540253,1.093820429,0.690926393,0.549388139,0.663630945,0.775814468,0.596918419,1.13116631,NA,0.810797768,0.641787791,0.752308926,0.900027659,0.807918642,0.807480123
1895,0.892484708,1.334758367,0.789391931,0.542110801,0.732236662,0.689179706,0.540715758,1.161937967,NA,0.70155483,0.684538968,0.820968115,1.169773949,1.277338263,1.008596948
1896,0.625325931,1.087610179,0.566066098,0.49076728,0.595471464,0.714128774,0.419266635,0.962373173,NA,0.617232647,0.773463269,0.812655164,0.861564059,1.100929161,0.967481529
1897,0.48516505,0.929772069,0.595015631,0.484194221,0.471877033,0.452530381,0.401470742,0.847729105,NA,0.730516995,0.587635653,0.689133518,0.650498607,0.543343906,0.536085847
1898,0.959400033,1.32963686,0.960866862,1.15267776,1.152889371,1.084354793,1.063389657,1.165111909,NA,0.867557699,1.121699501,1.26162296,1.555751242,1.2257095,1.231083947
1899,0.901098046,0.953024112,1.018747757,1.114065358,0.999412745,1.033875019,0.79716805,0.79927055,NA,0.886887905,1.090444451,1.008304698,1.097025543,1.025438679,1.134302723
1900,1.273332327,1.539687718,1.158929329,1.585575385,1.252796444,1.613719302,1.463867537,1.260831948,NA,1.215873659,1.078733539,1.176963194,1.8307572,1.173526449,1.35005598
1901,1.417789493,1.511906213,1.40801988,1.56092337,1.331468504,1.422432534,1.690678003,1.347986081,NA,1.350543541,1.242707797,1.394938823,1.870396684,1.205092215,1.766470916
1902,1.43629899,1.281803098,1.223677552,1.309319358,1.114812169,1.31289587,1.42418889,1.194293688,NA,1.108065398,1.33376958,1.194425358,1.448158938,1.156228176,1.830617584
1903,1.12090119,1.609190001,1.393676109,1.396696426,1.393659508,1.381819866,1.553709919,1.374476668,NA,1.239728113,1.079008133,1.210216724,1.259841121,1.033953608,1.648902852
1904,1.174691006,1.43626131,1.503804339,1.185957847,1.471689726,1.428368045,1.693685974,1.556715069,NA,1.174134533,1.395425873,1.318016014,1.257747983,1.001323672,1.573572763
1905,1.479425261,1.361658584,1.259486159,1.329458162,1.196322036,1.074336742,1.435437437,1.225869695,NA,1.01794471,1.163743182,1.015188637,1.48926798,1.021657904,1.162564508
1906,1.936344942,1.358157812,1.122706615,1.171738121,1.167401223,1.375673013,1.14279216,1.401325224,NA,1.315895774,1.67979175,1.200498527,1.417741519,1.07297347,1.385320775
1907,1.139496151,1.045315678,0.995428654,1.029326298,0.95333251,0.994853321,0.984876893,0.954403043,0.917931542,1.184189729,1.469380336,0.928098316,1.044958231,1.110625889,0.962297032
1908,1.254872218,1.315579274,1.308376682,1.204737529,1.20261253,1.308679714,1.798882103,0.944953695,1.476197982,1.45590848,1.102651524,1.039992447,0.946953613,1.276590819,0.971938365
1909,0.982980422,1.125669521,1.072506836,1.345514303,1.076525269,1.250670978,1.440986387,0.808892758,0.634998258,1.378064734,1.498087938,1.030106872,0.753387166,0.82165917,1.12869902
1910,1.009867386,0.889955485,0.97642692,0.945383377,0.819455805,1.016468189,0.813373516,0.842654464,0.831446332,0.912524942,0.952453205,0.792540225,0.537217296,0.836755598,0.88562058
1911,1.177964137,0.876078737,0.972752586,1.010762781,0.792088643,0.978888345,0.971123537,0.771524554,1.174809071,1.189729607,1.139847633,0.995142611,0.576092556,0.754406017,0.6250679
1912,0.975395737,0.889982492,0.958252049,1.138027121,1.023033176,1.388238125,1.323069297,0.819801314,1.640974711,1.218891431,1.253944917,0.775728454,0.484434753,0.935261405,1.041598175
1913,1.309055026,1.385005679,1.560397575,1.520757768,1.646006833,1.415157541,2.115143394,0.898300533,1.89824399,1.665049712,1.429103338,1.197182715,0.857895363,1.190176197,1.033888851
1914,1.464946779,1.117401651,1.422731341,1.29972104,1.501388948,1.143840447,1.42025251,0.787625603,1.393998733,1.298215316,1.127502836,1.172214599,0.763017754,1.363997704,1.279345859
