,TMD01,TMD02,TMD03,TMD04,TMD05,TMD06,TMD07,TMD08,TMD09,TMD10,TMD11,TMD12,TMD13,TMD14,TMD15,TMD16,TMD17,TMD18,TMD19,TMD20
1770,0.910853104,0.796426836,NA,0.867719702,NA,0.99376112,1.310334934,NA,NA,1.093078806,NA,1.32172539,1.243350689,1.10732441,NA,0.854014484,NA,NA,NA,NA
1771,1.344547435,1.04588485,NA,1.031385094,NA,1.07343838,1.374425227,NA,NA,1.427586731,NA,1.49201713,1.303506985,1.14953018,NA,1.676784744,NA,NA,NA,NA
1772,0.815719138,0.683586512,NA,0.664700333,NA,0.761777671,0.799305526,NA,NA,1.116097756,NA,0.829337246,0.72291899,0.689309586,NA,1.606388317,NA,NA,NA,NA
1773,1.303973765,1.091426733,NA,1.248602795,NA,1.179864548,0.961116623,NA,NA,1.689777201,NA,1.343526061,1.306861719,1.009297199,NA,2.298215162,NA,NA,NA,NA
1774,1.173357086,0.964977832,NA,1.392955614,NA,1.294979647,1.345767412,NA,NA,1.747513483,NA,1.252071571,1.578166662,1.24455191,NA,1.414444569,NA,NA,NA,NA
1775,0.972029613,0.951294293,NA,0.958348745,NA,1.209693431,0.940141936,NA,NA,1.171592721,NA,0.968812985,1.224794448,0.739648444,NA,0.927310631,NA,NA,NA,NA
1776,0.707044883,0.568010469,NA,0.738357885,NA,0.670258258,0.508120974,NA,NA,0.869987848,NA,0.64179668,0.773062326,0.55804263,NA,0.496638474,NA,NA,NA,NA
1777,0.769393338,1.284609316,NA,0.552708437,NA,1.022796465,0.695240451,NA,1.216470392,0.829894387,NA,0.84952247,0.829706697,0.791650871,NA,0.849912189,NA,NA,NA,NA
1778,0.64650081,1.281700467,NA,0.559191337,NA,1.028470858,1.081897471,NA,0.589494058,0.862863819,NA,1.003645268,0.665907541,0.877793227,NA,1.39661739,NA,NA,NA,NA
1779,0.72820121,1.038435666,NA,0.6151695,NA,1.042870713,1.158306216,NA,0.335262436,0.815749603,NA,0.932184418,0.541437604,0.966509547,NA,0.806965583,NA,NA,NA,NA
1780,0.816024512,1.330280186,NA,0.864975312,NA,1.298146659,1.809343818,NA,0.476227218,1.138414021,NA,1.059205336,0.733491609,1.246349461,NA,0.875047039,NA,NA,NA,NA
1781,1.182477982,1.454586217,NA,1.324410129,NA,1.345443164,1.675997681,NA,0.631987669,1.349054016,NA,1.447235634,0.931212128,1.575714017,NA,1.23013391,NA,NA,NA,NA
1782,0.725536617,0.818403962,NA,0.750591817,NA,0.917561616,1.088752688,NA,0.435810555,0.191332208,NA,0.842617214,0.141804914,0.636313915,NA,0.583216854,NA,NA,NA,NA
1783,0.394641808,0.533740158,NA,0.494768946,NA,0.51600756,0.454578084,NA,0.504177307,0.460557222,NA,0.32994324,0.287775313,0.632805096,NA,0.004991665,NA,NA,NA,NA
1784,0.647987765,0.968722638,NA,0.718323623,NA,0.921151982,1.011917549,NA,0.40668578,1.085112522,NA,1.016504725,0.875517272,1.069646853,NA,0.563791427,NA,NA,NA,NA
1785,0.679816056,0.948030885,NA,0.556655536,NA,0.623851559,1.012234575,NA,0.409636759,0.936275362,NA,0.726190508,0.345078971,0.933888141,NA,0.526076337,NA,0.688816445,NA,NA
1786,0.645490949,1.03259414,NA,0.724055963,NA,0.577190596,0.722930563,NA,0.617487405,0.808091254,NA,0.932518098,0.649101896,1.04137643,NA,0.323835717,NA,0.533161969,NA,NA
1787,0.697420521,0.780760556,NA,0.468873749,NA,0.86432488,0.82365317,NA,0.541547896,0.741806905,NA,0.612823447,0.404310882,0.856431541,NA,0.387398205,NA,0.391860819,NA,NA
1788,0.745537783,1.018460735,NA,0.592085912,NA,0.87872532,0.893240166,NA,0.985767584,0.873184096,NA,0.76848933,0.460065837,0.93398232,NA,0.510400185,NA,0.900207182,NA,NA
1789,1.203300819,1.07591563,NA,1.011004261,NA,0.987031883,1.247598304,NA,1.126929002,1.115894629,NA,0.861450078,0.620012307,1.383221515,NA,0.871072732,NA,1.253437237,NA,NA
1790,1.220156589,1.342486083,NA,1.07804755,NA,1.006729951,0.920496755,NA,1.123553454,1.159618461,NA,0.826638487,0.678408438,1.089105033,NA,1.128918623,NA,1.163854559,NA,NA
1791,1.158106636,1.278911212,NA,1.307118626,NA,0.919409229,0.949711559,NA,1.439829486,1.196877543,NA,0.973521591,1.158744944,1.241431715,NA,1.032570313,NA,1.140486599,NA,NA
1792,1.329617795,1.20779336,NA,1.199518954,NA,1.43658103,1.186474414,NA,1.150756692,1.038683193,NA,1.010912668,0.796830668,1.107960659,NA,1.116565138,NA,0.790656015,NA,NA
1793,1.711362396,1.404878471,NA,1.614916027,NA,1.504437323,1.18489317,NA,1.086541826,1.376074304,NA,1.304250749,1.07080753,1.31419639,NA,0.759407789,NA,1.068462281,NA,NA
1794,1.116950018,1.213646578,NA,1.140737694,NA,1.144839898,0.6260973,NA,1.040740082,1.013394102,NA,0.945818595,1.240278515,0.863111205,NA,1.031808053,NA,0.792161792,NA,NA
1795,0.737645457,0.537771494,NA,0.826506026,NA,0.740098772,0.380164274,NA,0.759469899,0.45015764,NA,0.570319631,0.542764602,0.148957306,NA,0.525072498,NA,0.851191785,NA,NA
