,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18
1925,1.440807095,1.08881033,0.705007981,0.980573767,1.089701976,0.937727488,0.82125156,0.792157955,0.674987425,0.619283213,1.077777154,0.916329959,0.867833658,0.725074885,1.131896058,1.107847416,0.783942002,1.701621097
1926,0.663336717,0.603107132,0.463741843,0.525815,0.488979551,0.413355725,0.549283902,0.354954574,0.451293666,0.286285304,0.477641938,0.530778118,0.674485426,0.438802902,0.646108958,0.607178139,0.385304656,0.710186466
1927,1.014410847,0.872066821,0.790550228,0.769094328,1.027532811,0.825526935,0.862576612,0.901321933,0.804083893,0.613403423,0.857076276,0.845919094,1.105432076,0.796150428,1.149392357,1.06187477,0.698531958,1.362424932
1928,1.31197872,1.074778541,1.151810268,1.215215343,1.108182542,1.013476506,1.075905963,0.987430156,1.105798638,0.805018818,0.862638432,1.082675264,1.28149365,1.150741826,1.320081648,1.133131534,0.781030182,1.353631343
1929,0.784450274,0.745729986,0.660088819,0.647811139,0.781383891,0.56363555,0.622847935,0.682365392,0.697199385,0.646784775,0.68685032,0.572234954,0.849971637,0.643587702,0.745590269,0.681747047,0.47761453,0.932686994
1930,0.385678441,0.547942072,0.37872386,0.29349682,0.41564027,0.35310804,0.427841773,0.351496969,0.490381676,0.198213987,0.251892199,0.373383495,0.833204437,0.330423455,0.559224543,0.30517185,0.263567403,1.003662527
1931,0.512512572,0.705987058,0.526310866,0.558192016,0.561777378,0.282909168,0.591390554,0.410706836,0.501030532,0.477465212,0.495112656,0.532072855,0.931255782,0.432965481,0.714857119,0.673730352,0.451551334,0.771632652
1932,0.848499713,0.936779731,0.613988251,0.689128534,0.768810991,0.473936039,0.741961899,0.691109827,0.700301954,0.744740686,0.65321776,0.792095562,1.010987441,0.706032262,0.873379323,0.859875794,0.683406933,1.126480086
1933,0.692739332,0.790146815,0.781783551,0.491913283,0.840264391,0.501458242,1.017691899,0.691635571,0.702382283,0.622334043,0.859775785,0.767254384,0.982727694,0.63789631,0.831868052,0.665906893,0.640734413,0.845107889
1934,0.642291548,0.666699744,0.655105034,0.473099736,0.62087685,0.43125916,0.771207588,0.467753729,0.532471253,0.461020886,0.570442876,0.778154749,0.959817717,0.592358873,0.750148979,0.542286408,0.591594972,0.592196465
1935,1.100978433,0.946880401,0.76366914,0.668619229,1.035200366,0.586482713,0.837992022,0.59003109,0.843305186,1.111225539,0.588556439,0.883832947,1.334168478,0.990770834,0.836583559,0.568656629,0.953662953,1.019546126
1936,0.886608891,0.958807557,0.824662685,0.653166417,0.706996792,0.591884352,0.58115255,0.513435836,0.644320784,0.541031272,0.640212567,0.786611403,1.347161539,0.643932886,1.212659632,0.742544939,0.867404352,1.218918255
1937,0.793597881,0.906846323,0.863555769,0.622932515,0.847723354,0.601427517,0.791479812,0.393540863,0.611920569,0.493351764,0.631854571,0.893608524,1.268428701,1.088680002,1.305258579,0.638401722,1.171300041,1.121621406
1938,0.882518543,0.774479407,1.020882428,0.857996125,1.065781108,0.734067109,0.968124424,0.72269635,0.74542541,0.70208805,0.757246195,1.107258112,1.057934018,0.999007352,0.964189157,0.666527457,1.179911618,0.705429345
