,VLD01,VLD02,VLD03,VLD04,VLD05,VLD06,VLD07,VLD08,VLD09,VLD10,VLD11,VLD12,VLD13,VLD14,VLD15
1867,0.758000168,0.688127621,0.749157255,1.053143031,1.072498996,0.863494367,0.832692605,0.806656526,1.120114256,0.873946845,1.050303457,NA,NA,0.814706144,0.825945104
1868,0.90416624,0.840552503,1.047080437,1.265116117,1.587878356,0.921469219,1.183829098,1.16460678,1.350522342,0.981360769,1.203865525,0.520753125,NA,1.089753598,1.377603702
1869,0.289699151,0.391280463,0.576151541,0.545478463,0.754678212,0.325471185,0.745952053,0.482182557,0.522105843,0.529997875,0.670486446,0.418716493,NA,0.510237635,0.498183137
1870,0.520241467,0.673653312,0.756785508,0.681722523,0.822968777,0.576748559,1.033224273,0.724849368,0.763186541,0.650782211,0.820850771,0.547731529,NA,0.763131106,0.779492949
1871,0.480708904,0.674426197,0.624859487,0.571246468,0.636219734,0.393738583,0.757478358,0.658419642,0.655910937,0.608934633,0.892039081,0.513232497,NA,0.68303067,0.67726955
1872,0.508585847,0.567346013,0.588164496,0.620545207,0.735712619,0.420399831,0.681628118,0.7041558,0.566856992,0.626086118,0.926295558,0.325186427,NA,0.460846597,0.756772008
1873,0.622761631,0.762500228,0.713877828,0.708110243,0.886664264,0.606555036,0.651467531,0.871147104,0.659733335,0.702877081,0.956949984,0.757587108,NA,0.819790618,0.892385385
1874,0.491410741,0.526779453,0.735546174,0.620443403,0.600470505,0.337766011,0.593131858,0.641740529,0.70003676,0.644841481,0.734420241,0.783880674,NA,0.577817613,0.489284716
1875,0.705182012,0.642948716,0.965279182,0.681663095,0.704869672,0.595688365,0.913870846,0.646818403,0.895694134,0.721514374,0.973679889,0.918684487,NA,0.939373145,0.923879058
1876,0.742057678,0.583413426,1.092762403,0.907750722,0.6591566,0.639569275,0.864276163,0.819173084,0.835434763,0.617498221,1.073796808,1.157598642,NA,0.749973903,0.635127004
1877,1.301642813,1.166153646,1.544787556,1.622936636,1.007545298,1.421487781,1.326813984,1.41067455,1.264767522,1.055946437,1.953699379,1.592833327,NA,1.317237981,0.99194196
1878,1.482361608,1.09350383,1.457836998,1.57766578,0.816336546,1.420508208,1.309375868,1.376784723,1.222822906,1.011979765,1.821772622,1.697346375,NA,1.132875066,0.87802762
